date,latitude,longitude,wind_speed,central_pressure,basin
2020-12-12 03:00:00,-20.8999,70.1003, , ,SI
2023-06-14 12:00:00,22.0000,66.7000, , ,NI
2024-05-02 09:00:00,-8.78497,44.1425, , ,SI
2021-10-12 03:00:00,19.4513,152.380, , ,WP
2021-07-18 00:00:00,22.5500,132.500,35,998,WP
2023-06-10 15:00:00,17.3200,67.4500, , ,NI
2022-09-29 03:00:00,25.4149,131.883, , ,WP
2021-12-02 06:00:00,17.3000,135.775,80,955,WP
2020-08-21 12:00:00,22.0000,122.862, ,1006,WP
2020-12-22 12:00:00,7.86667,110.000, ,1004,WP
2021-06-03 09:00:00,18.0468,118.163, , ,WP
2021-08-08 18:00:00,36.7750,145.175,45,985,WP
2021-12-06 12:00:00,-9.00000,104.600,25,1002,SI
2021-03-14 03:00:00,-21.8762,70.3463, , ,SI
2020-10-13 03:00:00,28.5589,144.259, , ,WP
2021-11-08 15:00:00,10.0999,-106.708, , ,EP
2022-02-06 12:00:00,-22.8160,44.1376, , ,SI
2021-11-19 03:00:00,12.7000,79.7000,20,1002,NI
2021-09-27 18:00:00,20.4750,136.300,85,950,WP
2023-06-08 21:00:00,14.4700,66.3700, , ,NI
2020-09-29 15:00:00,13.5348,-108.478, , ,EP
2023-07-18 09:00:00,17.3753,-147.510, , ,EP
2023-05-12 00:00:00,13.4000,88.2000, , ,NI
2021-04-30 12:00:00,44.3000,180.150, ,998,EP
2023-07-20 15:00:00,12.8500,-119.883, , ,EP
2020-07-31 15:00:00,17.3977,111.611, , ,WP
2024-03-12 21:00:00,-24.7874,33.6494, , ,SI
2020-10-23 09:00:00,17.8825,114.629, , ,WP
2021-10-05 21:00:00,60.9218,181.142, , ,EP
2023-07-14 21:00:00,17.9630,116.982, , ,WP
2020-10-16 12:00:00,15.5000,109.100, , ,WP
2022-06-17 15:00:00,17.4148,-108.745, , ,EP
2020-08-14 12:00:00,49.3000,162.500, ,998,WP
2020-09-15 18:00:00,20.6000,-121.700,50,998,EP
2021-09-13 03:00:00,15.9774,108.658, , ,WP
2021-02-06 09:00:00,-14.1213,79.8463, , ,SI
2022-10-23 12:00:00,22.1000,-105.500,100,962,EP
2021-08-29 18:00:00,51.0500,162.550, ,998,WP
2023-10-21 18:00:00,22.9000,-110.300, , ,EP
2023-08-13 15:00:00,30.9424,138.315, , ,WP
2023-10-20 18:00:00,19.7000,-109.500, , ,EP
2023-02-11 12:00:00,-14.8000,103.000, , ,SI
2021-07-29 03:00:00,13.6650,-121.538, , ,EP
2021-03-04 18:00:00,-17.1000,41.2500,27,999,SI
2021-07-27 12:00:00,31.5750,118.925,35,985,WP
2020-09-29 15:00:00,37.5134,157.253, , ,WP
2021-01-21 18:00:00,-17.9000,119.950,35,994,SI
2023-08-26 15:00:00,28.6267,150.246, , ,WP
2022-09-12 21:00:00,15.6925,-107.623, , ,EP
2024-04-08 18:00:00,-16.9000,118.100, , ,SI
2023-02-19 18:00:00,-17.7000,62.4000, , ,SI
2022-09-12 06:00:00,24.8000,124.100, , ,WP
2022-05-28 06:00:00,12.9000,-97.9000,35,1004,EP
2021-04-03 06:00:00,-10.9200,123.124,30,1000,SI
2023-09-16 12:00:00,14.5667,-138.100, , ,EP
2020-10-22 12:00:00,27.1714,139.400, , ,WP
2021-07-19 09:00:00,16.3150,-131.092, , ,EP
2023-08-20 12:00:00,28.3000,-115.433, , ,EP
2021-09-08 09:00:00,18.6350,-107.235, , ,EP
2022-03-20 21:00:00,-14.4954,112.796, , ,SI
2020-11-16 21:00:00,-16.5750,71.8712, , ,SI
2021-08-06 12:00:00,27.8500,134.725,40,990,WP
2022-08-16 21:00:00,17.2350,-115.043, , ,EP
